,date,close_price,code
0,2018-08-10,18918,A112040
1,2018-08-13,15711,A112040
2,2018-08-14,15736,A112040
3,2018-08-16,16115,A112040
4,2018-08-17,16039,A112040
5,2018-08-20,16039,A112040
6,2018-08-21,16494,A112040
7,2018-08-22,16190,A112040
8,2018-08-23,16367,A112040
9,2018-08-24,16216,A112040
10,2018-08-27,16847,A112040
11,2018-08-28,16468,A112040
12,2018-08-29,16342,A112040
13,2018-08-30,16418,A112040
14,2018-08-31,15988,A112040
15,2018-09-03,15079,A112040
16,2018-09-04,15231,A112040
17,2018-09-05,14902,A112040
18,2018-09-06,14574,A112040
19,2018-09-07,14574,A112040
20,2018-09-10,14094,A112040
21,2018-09-11,14650,A112040
22,2018-09-12,14751,A112040
23,2018-09-13,14751,A112040
24,2018-09-14,14827,A112040
25,2018-09-17,14827,A112040
26,2018-09-18,14700,A112040
27,2018-09-19,14599,A112040
28,2018-09-20,14650,A112040
29,2018-09-21,15509,A112040
30,2018-09-27,15130,A112040
31,2018-09-28,15660,A112040
32,2018-10-01,15130,A112040
33,2018-10-02,14523,A112040
34,2018-10-04,14498,A112040
35,2018-10-05,14624,A112040
36,2018-10-08,14170,A112040
37,2018-10-10,13185,A112040
38,2018-10-11,12478,A112040
39,2018-10-12,12478,A112040
40,2018-10-15,12099,A112040
41,2018-10-16,12957,A112040
42,2018-10-17,12629,A112040
43,2018-10-18,12604,A112040
44,2018-10-19,13008,A112040
45,2018-10-22,13008,A112040
46,2018-10-23,12402,A112040
47,2018-10-24,12326,A112040
48,2018-10-25,12174,A112040
49,2018-10-26,11215,A112040
50,2018-10-29,10053,A112040
51,2018-10-30,10785,A112040
52,2018-10-31,11922,A112040
53,2018-11-01,11644,A112040
54,2018-11-02,12326,A112040
55,2018-11-05,11922,A112040
56,2018-11-06,12225,A112040
57,2018-11-07,11846,A112040
58,2018-11-08,11366,A112040
59,2018-11-09,11290,A112040
60,2018-11-12,10331,A112040
61,2018-11-13,10886,A112040
62,2018-11-14,11290,A112040
63,2018-11-15,11366,A112040
64,2018-11-16,11947,A112040
65,2018-11-19,12629,A112040
66,2018-11-20,12932,A112040
67,2018-11-21,12528,A112040
68,2018-11-22,12957,A112040
69,2018-11-23,12806,A112040
70,2018-11-26,12856,A112040
71,2018-11-27,13160,A112040
72,2018-11-28,13968,A112040
73,2018-11-29,13235,A112040
74,2018-11-30,13109,A112040
75,2018-12-03,13564,A112040
76,2018-12-04,13412,A112040
77,2018-12-05,13084,A112040
78,2018-12-06,12452,A112040
79,2018-12-07,12781,A112040
80,2018-12-10,11543,A112040
81,2018-12-11,11543,A112040
82,2018-12-12,12427,A112040
83,2018-12-13,12452,A112040
84,2018-12-14,11518,A112040
85,2018-12-17,11846,A112040
86,2018-12-18,11871,A112040
87,2018-12-19,11669,A112040
88,2018-12-20,11594,A112040
89,2018-12-21,12957,A112040
90,2018-12-24,12957,A112040
91,2018-12-26,12553,A112040
92,2018-12-27,12427,A112040
93,2018-12-28,13109,A112040
94,2019-01-02,15458,A112040
95,2019-01-03,15407,A112040
96,2019-01-04,17756,A112040
97,2019-01-07,18287,A112040
98,2019-01-08,18716,A112040
99,2019-01-09,18691,A112040
100,2019-01-10,19499,A112040
101,2019-01-11,19398,A112040
102,2019-01-14,18843,A112040
103,2019-01-15,19247,A112040
104,2019-01-16,19171,A112040
105,2019-01-17,19474,A112040
106,2019-01-18,18666,A112040
107,2019-01-21,18009,A112040
108,2019-01-22,18312,A112040
109,2019-01-23,18540,A112040
110,2019-01-24,17883,A112040
111,2019-01-25,18792,A112040
112,2019-01-28,19398,A112040
113,2019-01-29,19550,A112040
114,2019-01-30,20055,A112040
115,2019-01-31,19221,A112040
116,2019-02-01,18893,A112040
117,2019-02-07,18236,A112040
118,2019-02-08,18565,A112040
119,2019-02-11,17908,A112040
120,2019-02-12,17479,A112040
121,2019-02-13,18438,A112040
122,2019-02-14,17681,A112040
123,2019-02-15,17403,A112040
124,2019-02-18,18211,A112040
125,2019-02-19,20308,A112040
126,2019-02-20,20611,A112040
127,2019-02-21,20737,A112040
128,2019-02-22,20964,A112040
129,2019-02-25,21747,A112040
130,2019-02-26,21368,A112040
131,2019-02-27,25713,A112040
132,2019-02-28,24702,A112040
133,2019-03-04,24702,A112040
134,2019-03-05,24248,A112040
135,2019-03-06,24601,A112040
136,2019-03-07,23768,A112040
137,2019-03-08,24399,A112040
138,2019-03-11,25460,A112040
139,2019-03-12,25309,A112040
140,2019-03-13,25965,A112040
141,2019-03-14,25410,A112040
142,2019-03-15,24753,A112040
143,2019-03-18,25915,A112040
144,2019-03-19,26016,A112040
145,2019-03-20,25006,A112040
146,2019-03-21,24298,A112040
147,2019-03-22,24273,A112040
148,2019-03-25,24096,A112040
149,2019-03-26,24854,A112040
150,2019-03-27,24702,A112040
151,2019-03-28,25258,A112040
152,2019-03-29,25662,A112040
153,2019-04-01,24955,A112040
154,2019-04-02,23818,A112040
155,2019-04-03,24702,A112040
156,2019-04-04,26824,A112040
157,2019-04-05,26218,A112040
158,2019-04-08,25561,A112040
159,2019-04-09,24930,A112040
160,2019-04-10,25233,A112040
161,2019-04-11,25359,A112040
162,2019-04-12,25410,A112040
163,2019-04-15,25561,A112040
164,2019-04-16,24829,A112040
165,2019-04-17,24223,A112040
166,2019-04-18,23793,A112040
167,2019-04-19,23818,A112040
168,2019-04-22,24273,A112040
169,2019-04-23,23339,A112040
170,2019-04-24,23389,A112040
171,2019-04-25,23364,A112040
172,2019-04-26,22707,A112040
173,2019-04-29,24046,A112040
174,2019-04-30,24248,A112040
175,2019-05-02,23894,A112040
176,2019-05-03,23894,A112040
177,2019-05-07,22934,A112040
178,2019-05-08,24349,A112040
179,2019-05-09,23313,A112040
180,2019-05-10,23642,A112040
181,2019-05-13,24500,A112040
182,2019-05-14,23768,A112040
183,2019-05-15,24324,A112040
184,2019-05-16,23162,A112040
185,2019-05-17,22353,A112040
186,2019-05-20,21116,A112040
187,2019-05-21,21318,A112040
188,2019-05-22,21368,A112040
189,2019-05-23,20106,A112040
190,2019-05-24,17580,A112040
191,2019-05-27,17176,A112040
192,2019-05-28,17504,A112040
193,2019-05-29,17504,A112040
194,2019-05-30,17403,A112040
195,2019-05-31,17403,A112040
196,2019-06-03,16999,A112040
197,2019-06-04,16923,A112040
198,2019-06-05,16898,A112040
199,2019-06-07,17150,A112040
200,2019-06-10,17226,A112040
201,2019-06-11,17125,A112040
202,2019-06-12,17706,A112040
203,2019-06-13,17403,A112040
204,2019-06-14,16999,A112040
205,2019-06-17,16822,A112040
206,2019-06-18,16948,A112040
207,2019-06-19,17605,A112040
208,2019-06-20,17479,A112040
209,2019-06-21,17024,A112040
210,2019-06-24,17681,A112040
211,2019-06-25,17327,A112040
212,2019-06-26,16999,A112040
213,2019-06-27,16973,A112040
214,2019-06-28,16670,A112040
215,2019-07-01,16216,A112040
216,2019-07-02,16165,A112040
217,2019-07-03,15786,A112040
218,2019-07-04,15559,A112040
219,2019-07-05,16115,A112040
220,2019-07-08,15711,A112040
221,2019-07-09,15711,A112040
222,2019-07-10,16241,A112040
223,2019-07-11,16393,A112040
224,2019-07-12,15357,A112040
225,2019-07-15,14018,A112040
226,2019-07-16,14119,A112040
227,2019-07-17,13841,A112040
228,2019-07-18,13993,A112040
229,2019-07-19,14296,A112040
230,2019-07-22,14145,A112040
231,2019-07-23,14624,A112040
232,2019-07-24,14069,A112040
233,2019-07-25,13538,A112040
234,2019-07-26,13589,A112040
235,2019-07-29,12957,A112040
236,2019-07-30,13109,A112040
237,2019-07-31,13488,A112040
238,2019-08-01,13362,A112040
239,2019-08-02,13210,A112040
240,2019-08-05,12023,A112040
241,2019-08-06,11114,A112040
242,2019-08-07,13008,A112040
243,2019-08-08,13791,A112040
244,2019-08-09,13614,A112040
245,2019-08-12,13867,A112040
246,2019-08-13,13210,A112040
247,2019-08-14,13261,A112040
248,2019-08-16,13185,A112040
249,2019-08-19,13665,A112040
