date,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2022-08-18,861.33,-12.02,-1.38,862.08,868.85,853.94,1974,170137,4.07E+07
2022-08-17,873.35,-5.44,-0.62,879.45,881.66,869.55,2038,194004,4.13E+07
2022-08-16,878.79,2.06,0.23,876.3,880.69,867.25,2981,304299,4.17E+07
2022-08-12,876.73,-26.46,-2.93,895.25,899.21,872.43,4176,477725,4.15E+07
2022-08-11,903.19,27.99,3.2,889.57,905.42,888.13,4640,366004,4.25E+07
2022-08-10,875.2,-35.16,-3.86,907.55,911.12,874.68,2701,241239,4.12E+07
2022-08-09,910.36,25.6,2.89,884.91,914.54,882.33,4332,393734,4.28E+07
2022-08-08,884.76,1.18,0.13,876.79,886.85,870.8,2500,193538,4.17E+07
2022-08-05,883.58,-3.92,-0.44,890.61,896.06,877.8,5189,399978,4.17E+07
2022-08-04,887.5,32.58,3.81,866.04,891.9,865.1,11385,844579,4.19E+07
2022-08-03,854.92,37,4.52,821.51,858.7,819.68,9737,643987,4.03E+07
2022-08-02,817.92,-14.32,-1.72,826.21,828.77,815.31,1701,133870,3.82E+07
2022-08-01,832.24,2.15,0.26,824.71,833.34,818.23,1660,146649,3.88E+07
2022-07-29,830.09,4.28,0.52,831.75,841.05,813.38,2904,309969,3.86E+07
2022-07-28,825.81,2.87,0.35,834.39,843.18,820.76,2079,165803,3.85E+07
2022-07-27,822.94,-24.58,-2.9,845.55,846.14,822.66,3100,244807,3.83E+07
2022-07-26,847.52,-0.71,-0.08,847.86,851.28,841.61,1864,142260,3.96E+07
2022-07-25,848.23,1.61,0.19,845.14,852.91,834.34,2249,169214,3.96E+07
2022-07-22,846.62,-9.65,-1.13,855.14,864.36,846.62,2076,169009,3.95E+07
2022-07-21,856.27,16.65,1.98,836.62,863.19,836.52,2400,232397,4.00E+07
2022-07-20,839.62,16.07,1.95,836.47,858.12,833.3,2683,256380,3.92E+07
2022-07-19,823.55,2.09,0.25,821.11,830.34,816.34,1336,113180,3.84E+07
2022-07-18,821.46,9.17,1.13,818.29,824.6,811.61,1396,109101,3.84E+07
2022-07-15,812.29,-16.53,-1.99,833.87,834.8,808.65,2064,154740,3.79E+07
2022-07-14,828.82,4.52,0.55,817.02,840.58,813.97,2321,186123,3.88E+07
2022-07-13,824.3,20.87,2.6,807.73,828.03,803.99,2706,181109,3.85E+07
2022-07-12,803.43,-10.4,-1.28,808.95,813.49,798.46,1735,129374,3.75E+07
2022-07-11,813.83,-7.3,-0.89,820.26,825.06,806.84,1907,141983,3.80E+07
2022-07-08,821.13,-5.48,-0.66,830.76,833.83,820.93,2015,152313,3.82E+07
2022-07-07,826.61,19.6,2.43,814.51,830.44,814,2163,178052,3.85E+07
2022-07-06,807.01,4.09,0.51,796.35,825.24,792.18,2735,237112,3.77E+07
2022-07-05,802.92,18.98,2.42,792.28,811.4,786.95,2831,216382,3.74E+07
2022-07-04,783.94,6.95,0.89,780.45,792.13,770.28,3502,245058,3.64E+07
2022-07-01,776.99,-8.74,-1.11,796.74,802.61,768.64,2967,254787,3.62E+07
2022-06-30,785.73,-50.86,-6.08,835.75,835.9,785.73,3049,371515,3.66E+07
2022-06-29,836.59,-35.68,-4.09,861.13,861.55,836.25,3503,321618,3.88E+07
2022-06-28,872.27,-15.21,-1.71,886.16,890.44,864.8,2595,269220,4.05E+07
2022-06-27,887.48,-19.71,-2.17,913.99,914.88,886.9,3487,278899,4.11E+07
2022-06-24,907.19,38.46,4.43,878.76,910.65,877.46,4852,344812,4.18E+07
2022-06-23,868.73,1.07,0.12,868.16,892.5,855.17,6998,484190,4.00E+07
2022-06-22,867.66,-29.09,-3.24,901.47,901.94,867.15,3552,258867,4.04E+07
2022-06-21,896.75,33.03,3.82,876.99,906.62,873.01,6291,434405,4.19E+07
2022-06-20,863.72,-19.32,-2.19,895.93,896.8,855.68,3530,253197,4.02E+07
2022-06-17,883.04,7.13,0.81,861.28,891.12,854.67,2518,248411,4.14E+07
2022-06-16,875.91,-14.24,-1.6,905.51,908.08,873.96,2249,211534,4.10E+07
2022-06-15,890.15,-26.44,-2.88,917.73,921.27,880.94,2813,259524,4.16E+07
2022-06-14,916.59,-12.81,-1.38,917.78,927.17,900.36,3658,306125,4.27E+07
2022-06-13,929.4,-50.95,-5.2,957.08,962.03,929.03,2516,251371,4.34E+07
2022-06-10,980.35,-8.57,-0.87,974.92,987.72,967.62,1935,210769,4.57E+07
2022-06-09,988.92,8.91,0.91,974.95,995.36,972.55,2246,325575,4.60E+07
2022-06-08,980.01,20.25,2.11,961.14,989.88,957.48,1618,217915,4.56E+07
2022-06-07,959.76,0.08,0.01,959.6,967.05,949.46,1951,244709,4.48E+07
2022-06-03,959.68,2.89,0.3,962.82,966.27,956.27,1459,153527,4.47E+07
2022-06-02,956.79,-19.9,-2.04,969.31,969.48,952.15,2089,217797,4.45E+07
2022-05-31,976.69,4.35,0.45,971.79,980.23,963.38,3698,412861,4.55E+07
2022-05-30,972.34,20.57,2.16,963.2,978.64,960.79,3941,363903,4.53E+07
2022-05-27,951.77,-2.01,-0.21,969.93,973.99,949.17,3046,399408,4.42E+07
2022-05-26,953.78,0.39,0.04,956.94,979.37,951.88,4522,429404,4.44E+07
2022-05-25,953.39,26.27,2.83,939.22,957.35,931.35,5095,430451,4.46E+07
2022-05-24,927.12,-27.03,-2.83,947.39,955.21,927.09,2649,235862,4.31E+07
2022-05-23,954.15,7.34,0.78,944.56,961.11,934.13,4428,378266,4.43E+07
2022-05-20,946.81,42.38,4.69,907.45,946.81,905.59,2715,286885,4.39E+07
2022-05-19,904.43,-7.21,-0.79,887.71,908.58,882.7,2114,214178,4.18E+07
2022-05-18,911.64,22.12,2.49,896.71,912.49,893.79,2106,214602,4.24E+07
2022-05-17,889.52,3.94,0.44,885.79,894.25,883.49,1927,188177,4.16E+07
2022-05-16,885.58,-21.36,-2.36,914.73,922.37,885.24,2463,269086,4.13E+07
2022-05-13,906.94,0.76,0.08,914.96,934.92,896.13,4725,602218,4.23E+07
2022-05-12,906.18,-41.51,-4.38,931.44,935.01,903.24,5625,540278,4.20E+07
2022-05-11,947.69,15.9,1.71,925.71,949.69,921.94,2353,207675,4.40E+07
2022-05-10,931.79,-11.01,-1.17,929.67,934.28,908.13,3843,293382,4.32E+07
2022-05-09,942.8,-10.93,-1.15,949.56,953.67,936.25,2539,208467,4.38E+07
2022-05-06,953.73,-23.88,-2.44,961.2,963.34,952.15,3205,254945,4.44E+07
2022-05-04,977.61,-10.77,-1.09,988.92,993.01,974.38,2469,232546,4.56E+07
2022-05-03,988.38,9.75,1,979.62,992.59,979.38,2897,250245,4.60E+07
2022-05-02,978.63,-7.25,-0.74,968.64,981.84,967.19,4242,340979,4.56E+07
2022-04-29,985.88,22.37,2.32,966.3,987.03,962.16,4385,363577,4.59E+07
2022-04-28,963.51,-1.89,-0.2,965.83,971.36,950.78,5888,456881,4.49E+07
2022-04-27,965.4,-52.58,-5.17,993.93,996.25,957.83,9449,803916,4.52E+07
2022-04-26,1017.98,23.08,2.32,1005.43,1027.89,1005.43,4469,452345,4.82E+07
2022-04-25,994.9,-29.53,-2.88,1016.25,1016.72,994.9,2707,276022,4.70E+07
2022-04-22,1024.43,-26.3,-2.5,1042.56,1044.03,1018.58,3354,355627,4.83E+07
2022-04-21,1050.73,-5.08,-0.48,1056.66,1061.01,1049.29,2367,230344,4.95E+07
2022-04-20,1055.81,-14.98,-1.4,1072.15,1072.47,1055.81,2654,275527,4.99E+07
