,date,A036570,A078340,A112040,A181710,A192080,A194480,A251270,A259960,A263750,A293490,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액,sma5,sma20,sma100,sma200
0,2018-08-10,361000,142000,18918,34011,64700,14500,127000,,47520,,931.54,13.18,1.44,,,,,,,,,,
1,2018-08-13,356000,137600,15711,32602,64400,14350,122500,,47380,,909.24,-22.3,-2.39,,,,,,,,,,
2,2018-08-14,385000,143300,15736,32081,67200,14350,123500,,49280,,944.79,35.55,3.91,,,,,,,,,,
3,2018-08-16,370500,142700,16115,31716,66400,14300,116000,,47560,,913.26,-31.53,-3.34,,,,,,,,,,
4,2018-08-17,371500,142100,16039,32081,66400,14300,119000,,48100,,922.3,9.04,0.99,,,,,,,924.226,,,
5,2018-08-20,367500,142500,16039,31924,67100,14600,117000,,47140,,911.17,-11.13,-1.21,,,,,,,920.152,,,
6,2018-08-21,375000,151100,16494,31768,66200,15000,123500,,48840,,941.77,30.6,3.36,,,,,,,926.658,,,
7,2018-08-22,371000,146800,16190,31403,67300,14800,120000,,49000,,930.96,-10.81,-1.15,,,,,,,923.892,,,
8,2018-08-23,385500,150000,16367,31507,67800,15000,122500,,49740,,951.73,20.77,2.23,,,,,,,931.586,,,
9,2018-08-24,391000,153700,16216,32133,68400,15000,123500,,49740,,960.5,8.77,0.92,,,,,,,939.226,,,
10,2018-08-27,390000,154800,16847,32498,69700,15250,122500,,50800,,966.14,5.64,0.59,,,,,,,950.22,,,
11,2018-08-28,393500,149100,16468,32185,68300,14200,118500,,50600,,955.76,-10.38,-1.07,,,,,,,953.018,,,
12,2018-08-29,395500,147300,16342,31924,68800,16000,120500,,51400,,963.94,8.18,0.86,,,,,,,959.6139999999999,,,
13,2018-08-30,398000,146500,16418,31924,68900,15700,120000,,50980,,962.19,-1.75,-0.18,,,,,,,961.7060000000001,,,
14,2018-08-31,387500,155900,15988,31455,69700,15100,116500,,51000,,954.02,-8.17,-0.85,,,,,,,960.4100000000001,,,
15,2018-09-03,385500,156000,15079,31403,68300,13500,116500,,48000,,936.26,-17.76,-1.86,,,,,,,954.434,,,
16,2018-09-04,406000,159000,15231,31455,67200,13750,119000,,47280,,951.83,15.57,1.66,,,,,,,953.6479999999999,,,
17,2018-09-05,394000,152500,14902,31142,67100,13150,116000,,46020,,928.87,-22.96,-2.41,,,,,,,946.634,,,
18,2018-09-06,399500,151000,14574,30933,67400,13100,114000,,46660,,929.16,0.29,0.03,,,,,,,940.028,,,
19,2018-09-07,414500,148100,14574,31037,66400,12900,113000,,48560,,942.09,12.93,1.39,,,,,,,937.642,940.376,,
20,2018-09-10,423500,150800,14094,31559,66600,12650,113500,,49440,,953.88,11.79,1.25,,,,,,,941.1659999999999,941.493,,
21,2018-09-11,425000,153300,14650,31507,66300,12500,112500,,49360,,955.73,1.85,0.19,,,,,,,941.9459999999999,943.8175000000001,,
22,2018-09-12,423500,153500,14751,31559,66400,12500,115000,,47900,,951.92,-3.81,-0.4,,,,,,,946.5559999999999,944.174,,
23,2018-09-13,435000,150600,14751,31924,65900,12800,117000,,46380,,955.28,3.36,0.35,,,,,,,951.78,946.275,,
24,2018-09-14,432500,144300,14827,31976,65800,12350,116000,,44100,,937.44,-17.84,-1.87,,,,,,,950.85,947.0319999999999,,
