date,A036570,A078340,A112040,A181710,A192080,A194480,A251270,A259960,A263750,A293490,종가,PA_A036570,PA_A078340,PA_A112040,PA_A181710,PA_A192080,PA_A194480,PA_A251270,PA_A259960,PA_A263750,PA_A293490,PA_종가,LPA_A036570,LPA_A078340,LPA_A112040,LPA_A181710,LPA_A192080,LPA_A194480,LPA_A251270,LPA_A259960,LPA_A263750,LPA_A293490,LPA_종가,AM_A036570,AM_A078340,AM_A112040,AM_A181710,AM_A192080,AM_A194480,AM_A251270,AM_A259960,AM_A263750,AM_A293490,AM_종가,RM_A036570,RM_A078340,RM_A112040,RM_A181710,RM_A192080,RM_A194480,RM_A251270,RM_A259960,RM_A263750,RM_A293490
2021-08-10,815000,113500,25864,39697,62600,81000,134500,454000,70300,83700,1515.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-11,790000,111700,27632,38549,62900,81300,136500,407000,68600,80800,1489,-0.030674847,-0.015859031,0.068357563,-0.028919062,0.004792332,0.003703704,0.014869888,-0.103524229,-0.024182077,-0.034647551,-0.017395206,-0.031155168,-0.015986131,0.066122481,-0.029345459,0.004780886,0.003696862,0.014760416,-0.109284013,-0.024479264,-0.035262012,-0.017548281,-0.030674847,-0.015859031,0.068357563,-0.028919062,0.004792332,0.003703704,0.014869888,-0.103524229,-0.024182077,-0.034647551,-0.017395206,-0.01327964,0.001536176,0.085752769,-0.011523855,0.022187539,0.02109891,0.032265095,-0.086129023,-0.00678687,-0.017252344
2021-08-12,806000,110300,30865,37401,61900,72200,132000,406000,68100,78800,1469.85,-0.011042945,-0.028193833,0.193357563,-0.057838124,-0.011182109,-0.108641975,-0.018587361,-0.105726872,-0.031294452,-0.058542413,-0.030032468,-0.011104371,-0.028598911,0.176770815,-0.059578176,-0.011245098,-0.115009109,-0.018762276,-0.111744038,-0.031794586,-0.060325981,-0.03049268,0.020253165,-0.012533572,0.117002027,-0.02978028,-0.015898251,-0.111931119,-0.032967033,-0.002457002,-0.00728863,-0.024752475,-0.012860981,0.033114145,0.000327408,0.129863007,-0.016919299,-0.003037271,-0.099070139,-0.020106052,0.010403978,0.005572351,-0.011891495
2021-08-13,786000,105800,31825,36880,61900,72000,127000,437000,63600,77200,1427.69,-0.035582822,-0.06784141,0.230474791,-0.070962541,-0.011182109,-0.111111111,-0.055762082,-0.037444934,-0.095305832,-0.077658303,-0.057854239,-0.036231321,-0.070252317,0.207400104,-0.073606219,-0.011245098,-0.117783036,-0.057377113,-0.038164003,-0.100158328,-0.08083952,-0.059595281,-0.024813896,-0.040797824,0.031103191,-0.013930109,0,-0.002770083,-0.037878788,0.07635468,-0.066079295,-0.020304569,-0.028683199,0.003869303,-0.012114625,0.05978639,0.01475309,0.028683199,0.025913116,-0.009195589,0.105037879,-0.037396096,0.00837863
2021-08-17,771000,101000,38140,35836,58600,66800,125000,451500,61800,77100,1412.41,-0.05398773,-0.110132159,0.47463656,-0.097261758,-0.063897764,-0.175308642,-0.07063197,-0.005506608,-0.120910384,-0.078853047,-0.067937652,-0.05549974,-0.11668232,0.38841156,-0.102322643,-0.066030582,-0.192746074,-0.073250462,-0.005521825,-0.128868434,-0.082135697,-0.070355569,-0.019083969,-0.04536862,0.198428908,-0.028308026,-0.053311793,-0.072222222,-0.015748031,0.033180778,-0.028301887,-0.001295337,-0.010702604,-0.008381366,-0.034666017,0.209131512,-0.017605423,-0.04260919,-0.061519619,-0.005045428,0.043883382,-0.017599283,0.009407267
2021-08-18,788000,102500,38493,36619,58700,67600,129500,469000,62700,77800,1439.9,-0.033128834,-0.0969163,0.488284875,-0.077537345,-0.062300319,-0.165432099,-0.037174721,0.033039648,-0.108108108,-0.070489845,-0.049796748,-0.033690023,-0.101940038,0.397624366,-0.080708387,-0.064325551,-0.180841172,-0.037883318,0.03250557,-0.114410351,-0.073097546,-0.051079368,0.022049287,0.014851485,0.009255375,0.021849537,0.001706485,0.011976048,0.036,0.03875969,0.014563107,0.009079118,0.019463187,0.0025861,-0.004611702,-0.010207812,0.00238635,-0.017756702,-0.007487139,0.016536813,0.019296503,-0.00490008,-0.010384069
2021-08-19,853000,100900,36927,35993,56500,67500,126500,492500,67500,76100,1447.82,0.046625767,-0.111013216,0.427737396,-0.093306799,-0.097444089,-0.166666667,-0.059479554,0.084801762,-0.039829303,-0.090800478,-0.044570267,0.045571434,-0.11767291,0.35609095,-0.097951143,-0.10252464,-0.182321557,-0.061321891,0.081397263,-0.040644201,-0.095190713,-0.045594058,0.08248731,-0.015609756,-0.040682722,-0.017094951,-0.037478705,-0.00147929,-0.023166023,0.05010661,0.076555024,-0.0218509,0.005500382,0.076986928,-0.021110138,-0.046183104,-0.022595333,-0.042979087,-0.006979672,-0.028666405,0.044606228,0.071054642,-0.027351282
2021-08-20,826000,98800,37079,34950,56200,66000,125000,491500,71000,77600,1445.58,0.013496933,-0.129515419,0.43361429,-0.119580825,-0.102236422,-0.185185185,-0.07063197,0.082599119,0.009957326,-0.072879331,-0.046048464,0.01340666,-0.138705232,0.360198731,-0.127357149,-0.107848521,-0.204794413,-0.073250462,0.079364742,0.009908078,-0.07567155,-0.047142409,-0.031652989,-0.020812686,0.004116229,-0.028977857,-0.005309735,-0.022222222,-0.011857708,-0.002030457,0.051851852,0.019710907,-0.001547154,-0.030105836,-0.019265532,0.005663383,-0.027430703,-0.003762581,-0.020675069,-0.010310554,-0.000483303,0.053399006,0.02125806
2021-08-23,824000,101400,38190,35836,56500,67500,129000,484500,72400,75300,1448.06,0.011042945,-0.10660793,0.476569749,-0.097261758,-0.097444089,-0.166666667,-0.040892193,0.067180617,0.029871977,-0.100358423,-0.044411889,0.010982417,-0.112729746,0.389721661,-0.102322643,-0.10252464,-0.182321557,-0.041751795,0.065020233,0.029434501,-0.105758843,-0.045428305,-0.002421308,0.026315789,0.029963052,0.025350501,0.005338078,0.022727273,0.032,-0.014242116,0.01971831,-0.029639175,0.001715574,-0.004136882,0.024600215,0.028247477,0.023634926,0.003622504,0.021011698,0.030284426,-0.01595769,0.018002735,-0.03135475
2021-08-24,847000,103100,37736,36306,58400,72600,132000,460000,72700,75900,1472.54,0.039263804,-0.091629956,0.459016393,-0.085422072,-0.067092652,-0.103703704,-0.018587361,0.013215859,0.034139403,-0.093189964,-0.028257312,0.038512581,-0.096103446,0.377762506,-0.089292601,-0.069449388,-0.109484233,-0.018762276,0.013129291,0.033569586,-0.097822293,-0.028664234,0.027912621,0.016765286,-0.011887929,0.013115303,0.033628319,0.075555556,0.023255814,-0.050567595,0.004143646,0.007968127,0.016905377,0.011007245,-0.000140091,-0.028793306,-0.003790074,0.016722942,0.058650179,0.006350437,-0.067472972,-0.01276173,-0.008937249
