date,A036570_엔씨소프트,A078340_컴투스,A112040_위메이드,A181710_NHN,A192080_더블유게임즈,A194480_데브시스터즈,A251270_넷마블,A259960_크래프톤,A263750_펄어비스,A293490_카카오게임즈,close
2021-08-10,815000,113500,25864,39697,62600,81000,134500,454000,70300,83700,1515.36
2021-08-11,790000,111700,27632,38549,62900,81300,136500,407000,68600,80800,1489
2021-08-12,806000,110300,30865,37401,61900,72200,132000,406000,68100,78800,1469.85
2021-08-13,786000,105800,31825,36880,61900,72000,127000,437000,63600,77200,1427.69
2021-08-17,771000,101000,38140,35836,58600,66800,125000,451500,61800,77100,1412.41
2021-08-18,788000,102500,38493,36619,58700,67600,129500,469000,62700,77800,1439.9
2021-08-19,853000,100900,36927,35993,56500,67500,126500,492500,67500,76100,1447.82
2021-08-20,826000,98800,37079,34950,56200,66000,125000,491500,71000,77600,1445.58
2021-08-23,824000,101400,38190,35836,56500,67500,129000,484500,72400,75300,1448.06
2021-08-24,847000,103100,37736,36306,58400,72600,132000,460000,72700,75900,1472.54
2021-08-25,837000,104100,37180,36410,58500,70000,136500,451000,70000,76800,1482.16
2021-08-26,709000,103400,35867,36515,60400,70800,127000,469500,87900,85400,1496.83
2021-08-27,659000,103300,32027,36567,62700,73800,127500,497000,89000,80900,1451.56
2021-08-30,649000,103100,41625,36932,62500,78100,125000,497000,102000,82000,1482.02
2021-08-31,660000,103200,47839,36828,63300,78000,129000,491500,94300,81200,1483.84
2021-09-01,637000,103800,54406,37088,61700,81100,127500,507000,89500,79900,1461.84
2021-09-02,633000,103900,54507,37036,61500,84800,126000,491500,87500,79700,1451.72
2021-09-03,622000,103300,66581,36828,59600,80400,126000,509000,88400,80500,1465.12
2021-09-06,633000,103900,64914,36932,59500,89700,126000,482500,85800,77800,1446.55
2021-09-07,616000,103200,64156,36515,59600,91400,125000,464500,84100,77200,1428.45
2021-09-08,612000,101500,55568,36619,58500,84500,125000,483500,83000,74300,1396.57
2021-09-09,611000,100100,61529,35680,57500,90900,122500,475000,84300,72900,1385.19
2021-09-10,607000,101100,58700,35576,58000,88500,122500,447000,81800,73800,1362.41
2021-09-13,591000,99900,59000,35471,58300,115000,121500,451500,80900,71800,1356.56
2021-09-14,599000,102100,74400,35732,59000,119500,124000,478000,82900,72400,1394.19
2021-09-15,596000,101500,74900,35889,59800,123000,124000,493500,84300,72400,1405.9
2021-09-16,589000,100500,80000,35471,61300,132400,122000,492000,82000,71300,1393.4
2021-09-17,587000,102700,85800,37506,60600,156500,122000,493500,82400,72200,1403.57
2021-09-23,584000,99800,78400,36567,62000,177200,121000,500000,82200,68900,1403.07
2021-09-24,596000,100500,76500,35889,62500,162700,120000,493000,87400,68300,1404.06
2021-09-27,583000,100400,67400,37088,62900,186000,119000,498000,82200,68800,1399.46
2021-09-28,571000,97200,68900,36358,63300,182200,116000,500000,84000,67800,1382.53
2021-09-29,574000,95700,72600,36410,62400,172400,114500,500000,80700,66900,1370.55
2021-09-30,603000,98800,70000,36619,63000,156900,118000,502000,80400,65700,1393.19
2021-10-01,595000,95800,81800,36410,60900,161300,115000,498000,85300,64800,1380.46
2021-10-05,563000,95300,96000,35419,60100,181200,114000,463000,85900,63300,1336.56
2021-10-06,560000,96200,94500,35211,59600,187000,116500,454000,85400,62600,1335.46
2021-10-07,571000,101900,98800,35628,62300,187500,121000,474000,90700,67300,1386.66
2021-10-08,578000,97700,97900,35836,62300,187400,121500,470000,88000,65300,1381.39
2021-10-12,558000,95600,90500,35263,61500,156000,119000,484000,89800,65400,1365.17
2021-10-13,576000,96300,90700,36045,61500,136400,120000,488000,92700,65500,1379.68
2021-10-14,582000,100000,117200,36880,64500,139300,122500,478500,94800,68900,1395.24
2021-10-15,607000,101000,120300,37714,65200,136500,121500,472500,94000,67500,1399.68
2021-10-18,596000,111500,126000,38027,65800,124200,120500,486000,90900,71100,1402.84
2021-10-19,629000,113500,138500,38027,65800,124400,127500,493500,97800,72200,1458.15
2021-10-20,624000,116900,130100,37975,64700,117500,126000,487000,95800,71000,1440.45
